id,energy,valence
1,0.978,0.503
2,0.9570000000000001,0.489
3,0.97,0.37
4,0.9670000000000001,0.574
5,0.929,0.539
6,0.848,0.19399999999999998
7,0.976,0.483
8,0.873,0.618
9,0.882,0.418
10,0.7040000000000001,0.6559999999999999
11,0.965,0.174
12,0.855,0.6679999999999999
13,0.779,0.7340000000000001
14,0.8420000000000001,0.301
15,0.5329999999999999,0.29
16,0.8059999999999999,0.447
17,0.765,0.613
18,0.823,0.573
19,0.755,0.608
20,0.597,0.47
21,0.613,0.531
22,0.883,0.6409999999999999
23,0.632,0.593
24,0.513,0.6829999999999999
25,0.445,0.38299999999999995
26,0.56,0.304
27,0.757,0.596
28,0.28800000000000003,0.44
29,0.616,0.6920000000000001
30,0.83,0.945
31,0.6890000000000001,0.7959999999999999
32,0.8140000000000001,0.894
33,0.23399999999999999,0.336
34,0.365,0.307
35,0.611,0.43799999999999994
36,0.313,0.743
37,0.33399999999999996,0.384
38,0.294,0.174
39,0.307,0.76
40,0.21899999999999997,0.306
41,0.742,0.968
42,0.494,0.4370000000000001
43,0.46299999999999997,0.888
44,0.413,0.39899999999999997
45,0.319,0.19699999999999998
46,0.584,0.4270000000000001
47,0.375,0.233
48,0.15,0.22699999999999998
49,0.4320000000000001,0.611
50,0.49,0.685
